id,age,age_bucket,gender,zip_code,city,state,income,education_level,q1_rating,q1_words,q2_rating,q2_words,q3_open,q4_rating,q4_words,q5_open,sentiment_label
5,33,30-39,Male,92102,Mistyshire,NC,Low,Masters Degree,3,Neutral,1,Strongly Disagree,Not sure what to say about AI.,2,Disagree,I'm worried AI will reinforce societal stereotypes.,Negative
9,69,60-69,Male,99280,New Adam,FL,Upper-Middle,Masters Degree,1,Strongly Disagree,5,Strongly Agree,"AI is whatever, I guess.",1,Strongly Disagree,Surveillance through AI systems feels invasive.,Negative
12,73,70-79,Male,74382,Lake Andrea,GA,Low,Masters Degree,5,Strongly Agree,1,Strongly Disagree,I expect AI to handle scheduling and help me stay more organized.,3,Neutral,Dont like machines doing too much.,Positive
26,43,40-49,Female,18586,North Meganchester,IL,Upper-Middle,Masters Degree,1,Strongly Disagree,4,Agree,AI tools could be integrated into customer support systems to improve efficiency.,2,Disagree,Feels like a sci-fi movie.,Positive
40,41,40-49,Male,77562,New Carlosview,NC,Lower-Middle,Masters Degree,3,Neutral,5,Strongly Agree,"As a teacher, I think AI can assist with grading and personalized learning.",5,Strongly Agree,Feels like a sci-fi movie.,Positive
8,33,30-39,Male,18766,Leetown,IL,Lower-Middle,Some College,3,Neutral,5,Strongly Agree,AI tools could be integrated into customer support systems to improve efficiency.,1,Strongly Disagree,Misuse of AI in spreading misinformation is a real threat.,Neutral
17,33,30-39,Male,80439,Lake Donnafurt,MI,High,Some College,1,Strongly Disagree,4,Agree,It might automate mundane tasks so I can focus on strategic goals.,2,Disagree,Its kinda creepy.,Positive
18,25,21-29,Male,62866,Port Randyfort,OH,Lower-Middle,Some College,5,Strongly Agree,3,Neutral,It's probably useful in some way.,4,Agree,I worry that AI will widen inequality if access is limited.,Neutral
33,27,21-29,Female,66284,Lake Johnland,CA,Low,Some College,1,Strongly Disagree,4,Agree,No clue what it really does.,1,Strongly Disagree,AI could displace workers who aren't able to reskill quickly.,Negative
39,24,21-29,Male,81829,East Monica,MI,Lower-Middle,Some College,5,Strongly Agree,5,Strongly Agree,I think AI will change the way we collaborate across teams.,4,Agree,Feels like a sci-fi movie.,Positive
42,66,60-69,Male,02208,Bakerville,NC,Lower-Middle,Some College,1,Strongly Disagree,2,Disagree,"AI can help optimize workflows in the medical field, where I work.",4,Agree,Feels like a sci-fi movie.,Positive
43,66,60-69,Non-binary,39468,Lake Jenna,GA,Lower-Middle,Some College,4,Agree,4,Agree,AI tools could be integrated into customer support systems to improve efficiency.,3,Neutral,Seems dangerous maybe.,Positive
48,24,21-29,Male,98700,West Emily,GA,Upper-Middle,Some College,3,Neutral,1,Strongly Disagree,It might automate mundane tasks so I can focus on strategic goals.,5,Strongly Agree,Weird tech taking over.,Positive
